call_id,caller_id,agent_id,call_start_time,call_end_time,call_status
1,850190,1715,10:03:27,06:31:16,FAILED
2,959137,8405,04:43:17,19:34:13,DROPPED
3,959040,3857,08:47:19,08:23:24,FAILED
4,824474,5585,13:53:22,11:27:53,COMPLETED
5,998754,1058,06:16:34,14:19:50,DROPPED
6,174123,3771,11:02:25,17:28:05,FAILED
7,886787,1445,04:21:47,17:28:27,FAILED
8,905332,4033,10:38:28,22:12:56,COMPLETED
9,508965,9853,20:14:10,19:06:28,DROPPED
10,311069,8493,17:47:12,02:50:10,FAILED
11,120694,6646,02:22:25,09:20:06,COMPLETED
12,481302,6317,08:43:18,20:55:25,DROPPED
13,772564,7369,11:51:26,17:05:58,FAILED
14,764926,2090,07:49:21,23:54:37,DROPPED
15,988876,7326,11:51:29,17:29:41,FAILED
16,493350,3881,07:47:39,09:56:16,DROPPED
17,693683,9458,23:16:04,22:44:44,DROPPED
18,281396,9449,12:23:07,07:21:39,FAILED
19,870030,2663,21:48:08,13:08:40,DROPPED
20,221578,6824,21:54:29,21:36:30,DROPPED
21,263194,5158,05:08:27,19:38:10,FAILED
22,207062,1569,12:02:39,09:00:08,FAILED
23,791798,3650,04:33:24,20:27:04,COMPLETED
24,439632,9932,00:49:07,04:07:05,COMPLETED
25,293723,8628,19:13:59,07:41:03,COMPLETED
26,183423,8384,13:50:46,05:19:23,COMPLETED
27,485632,1770,08:17:16,05:19:37,FAILED
28,727775,6288,23:06:56,00:43:00,DROPPED
29,847116,7734,05:25:29,23:55:14,DROPPED
30,966745,4697,07:00:00,04:13:26,FAILED
31,650468,7596,09:01:23,10:32:58,DROPPED
32,857353,6883,10:54:56,18:44:06,COMPLETED
33,889318,4181,03:06:26,00:13:31,DROPPED
34,430277,9337,14:59:54,00:57:18,COMPLETED
35,334770,9615,03:41:17,07:37:37,DROPPED
36,275576,8052,19:41:07,16:30:02,DROPPED
37,217726,8639,07:40:21,20:48:49,DROPPED
38,594948,2379,03:56:59,11:47:24,FAILED
39,893679,9980,08:25:19,12:47:50,DROPPED
40,908404,5099,08:52:08,07:42:58,COMPLETED
41,438936,2389,10:36:37,01:35:03,FAILED
42,774485,1424,19:48:36,11:56:34,COMPLETED
43,774859,2309,19:02:21,23:31:33,COMPLETED
44,130677,3050,10:10:39,18:45:01,DROPPED
45,316967,4751,04:41:03,02:16:18,COMPLETED
46,306778,3065,16:43:08,01:26:13,FAILED
47,215043,7224,09:10:29,04:44:39,FAILED
48,214902,7642,06:05:17,05:57:53,FAILED
49,537697,3312,21:42:01,03:27:56,FAILED
50,898494,9374,08:45:40,15:54:42,COMPLETED
